Nom;GPS
Lycée Rive Gauche (Toulouse - 31);43.5847,1.39421
Lycée Saint Etienne (Cahors - 46);44.4503,1.44138
SECTION ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CLEMENT DE PEMILLE (Graulhet - 81);43.765,1.99486
Lycée ST PIERRE-ST PAUL (Langogne - 48);44.7254,3.8537
Lycée Jean Monnet (Saint-Etienne - 42);45.4175,4.42119
Esaa Duperré (Paris  3e  Arrondissement - 75);48.8651,2.36204
POLE FORMATION UIMM OCCITANIE (CFAI) (Baillargues - 34);43.652,4.00216
Lycée Raymond Loewy (La Souterraine - 23);46.2399,1.48522
Lycée Paul Poiret (Paris 11e  Arrondissement - 75);48.8546,2.37492
Lycée Lucas De Nehou (Paris  5e  Arrondissement - 75);48.8415,2.34298
Lycée Estienne Esaig (Paris 13e  Arrondissement - 75);48.8308,2.35242
ECOLE NATIONALE SUPERIEURE A.A-MET.D'ART. (Paris 15e  Arrondissement - 75);48.8335,2.29483
Institut Catholique Paris (Paris  6e  Arrondissement - 75);48.8481,2.32917
I.U.T de Cergy-Pontoise - Site d'Argenteuil (95);48.9494,2.23342
CFA CFAI CENTRE (La Chapelle-Saint-Mesmin - 45);47.8889,1.83299
Institut supérieur du transport et de la logistique internationale (Marseille 14e  Arrondissement - 13);43.3346,5.37467
BTP CFA CHARENTE (Chasseneuil-sur-Bonnieure - 16);45.8211,0.45602
PROGRESS SANTE (Paris 10e  Arrondissement - 75);48.8791,2.36813
Lycée professionnel des Métiers Jean-Baptiste Clément (Sedan - 08);49.7353,4.83948
ANTENNE DE CFA CFA PROMOTRANS (Paris  9e  Arrondissement - 75);48.88,2.33058
Lycée professionnel Roger Claustres (Clermont-Ferrand - 63);45.7955,3.08771
Lycée Jean Dupuy (Tarbes - 65);43.2294,0.06526
Lycée professionnel Leonard De Vinci (Bressuire - 79);46.8336,-0.48784
Lycée du Gué-à-Tresmes (Congis-sur-Thérouanne - 77);49.0201,2.9643
Lycée Auguste Renoir (Paris 18e  Arrondissement - 75);48.8868,2.32809
Lycée Maximilien Vox (Paris  6e  Arrondissement - 75);48.8519,2.33206
Lycée Edgar Faure (Morteau - 25);47.0613,6.60695
CFA INST DES SERV A ENVIRONNEMENT (Lomme - 59);50.653,2.98362
ECOLE TECHNOLOGIQUE PRIVEE GRAND SUD FORMATION (Toulouse - 31);43.6077,1.45264
Lycée Saint Louis Saint Bruno (Lyon 1er Arrondissement - 69);45.7719,4.82323
Lycée professionnel La Trinite (972);14.6799,-60.96
Université Paris 13 (Villetaneuse - 93);48.9571,2.33972
Lycée professionnel des Métiers Eugene MONTEL (Colomiers - 31);43.6103,1.35157
Lycée professionnel Marcel Pagnol (Limoges - 87);45.8201,1.28607
Lycée professionnel Louise MICHEL (Ruffec - 16);46.0266,0.19276
Lycée Portes De L'Oisans (Vizille - 38);45.0675,5.76967
Institut Limayrac (Toulouse - 31);43.5928,1.46888
MFREO La Bagotière (Les Moutiers-en-Cinglais - 14);49.0293,-0.44803
CFA Campus IGS (Blagnac - 31);43.6436,1.38632
CFA INDUSTRIE MIDI-PYRENEES (Beauzelle - 31);43.6602,1.37346
Lycée Déodat de Séverac (Toulouse - 31);43.5884,1.42651
CFA UTEC MEAUX (77);48.9562,2.88847
Lycée Condorcet (Saint-Quentin - 02);49.8614,3.29328
CFA CAMAS (Tremblay-en-France - 93);48.967,2.57203
Lycée des métiers de la chimie Albert Camus (Mourenx - 64);43.3704,-0.62513
Lycée St Joseph De Cluny (Fort-de-France - 972);14.6141,-61.0815
Lycée professionnel des métiers Gabriel Voisin (Bourg-en-Bresse - 01);46.2113,5.24508
Lycée Colbert (Lyon 8e  Arrondissement - 69);45.745,4.85987
Lycée Dumont D'Urville (Maurepas - 78);48.7642,1.95217
Lycée professionnel Industries Lilloises (Lille - 59);50.6221,3.05722
Lycée Marcel Cachin (Saint-Ouen-sur-Seine - 93);48.9119,2.33376
Lycée Hyacinthe Friant (Poligny - 39);46.8348,5.7088
I.U.T de Nice - Antenne de Valbonne (06);43.61648,7.07206
I.U.T de Chalon-Sur-Saône (71);46.7771,4.85594
Lycée  Mémona Hintermann-Afféjee (Saint-Denis - 974);-20.91224,55.47906
Université Clermont Auvergne (Clermont-Ferrand - 63);45.7611,3.11138
Maison familiale et rurale (MFR) de Fougerolles (Fougerolles-Saint-Valbert - 70);47.8795,6.41671
BTP CFA INDRE ET CHER (Châteauroux - 36);46.78649,1.70441
ISEN Lille Cycle Préparatoire Numérique et Biologie (59);50.6342,3.04871
ESEO Dijon (21);47.3294,5.01709
ESCOM Chimie (Compiègne - 60);49.402,2.80244
ISEP Paris Cycle intégré international anglophone (Paris  6e  Arrondissement - 75);48.8456,2.32814
ESEO Paris - Vélizy (Vélizy-Villacoublay - 78);48.7836,2.21294
ESIEE Paris (Noisy-le-Grand - 93);48.83982,2.58357
ESAIP Cycle préparatoire Aix-en-Provence (13);43.5277,5.4042
ISEN Lille Cycle préparatoire numérique et biologie (59);50.6342,3.04871
ESEO Angers (49);47.4934,-0.5508
ISEN Lille Cycle préparatoire généraliste (59);50.6342,3.04871
HEI Lille Cycle préparatoire généraliste (59);50.6338,3.04505
ELISA Aerospace Hauts de France (Saint-Quentin - 02);49.8494,3.28716
Lycée Edouard Branly (Lyon 5e  Arrondissement - 69);45.7527,4.79112
MFREO La Palma à l'Arbresle (69);45.8391,4.62044
CFA AGRICOLE DE LA DORDOGNE (Coulounieix-Chamiers - 24);45.1724,0.69231
Lycée ORT Léon Bramson (Marseille 10e  Arrondissement - 13);43.2791,5.41043
Lycée Honoré d'Estienne d'Orves (Beau-Site) (Nice - 06);43.69804,7.24318
IFSI Beaujon René Auffray (AP-HP) - rentrée en septembre (Clichy - 92);48.9008,2.32915
IFSI CHS Roger Prevot - rentrée en septembre (Moisselles - 95);49.0503,2.33813
IFSI CH de Digne - rentrée en septembre (Digne-les-Bains - 04);44.0715,6.17487
IFSI du GCSPA d'Aix-en-Provence - rentrée en septembre (13);43.5199,5.4397
IFSI CH d'Aubagne - rentrée en septembre (13);43.2924,5.56285
IFSI du Gipes d'Avignon - rentrée en septembre (84);43.9093,4.88802
IFSI CH DU MANS  - rentrée en septembre (Le Mans - 72);48.016,0.17868
IFSI POLE SANTE SARTHE Et LOIR - rentrée en septembre (La Flèche - 72);47.7033,-0.06713
IFSI Avicenne (AP-HP) - rentrée en septembre (Bobigny - 93);48.91485,2.42129
IFSI EPS Ville Evrard - rentrée en septembre (Neuilly-sur-Marne - 93);48.86243,2.5454
IFSI Diaconesses Reuilly - rentrée en septembre (Paris 12e  Arrondissement - 75);48.84423,2.39193
IFSI CH La Palmosa de Menton - rentrée en septembre (06);43.7812,7.5086
Institut de Formation en Soins Infirmiers - SOISSONS - rentrée en septembre (02);49.36896,3.33568
IFSI CH Sens - rentrée en septembre (89);48.1928,3.29858
IFSI CH public du Cotentin - rentrée en septembre (Cherbourg-en-Cotentin - 50);49.6363,-1.61206
IFSI CH Montluçon - rentrée en septembre (03);46.3427,2.6118
IFSI CH du Puy - rentrée en septembre (Le Puy-en-Velay - 43);45.0507,3.87832
IFSI Bastia - rentrée en septembre (20);42.7068,9.45268
IFSI Sainte Marie Privas - rentrée en septembre (07);44.7318,4.59295
IFSI CH Dunkerque - rentrée en septembre (59);51.0364,2.40208
IFSI de l’Université Catholique de Lille - rentrée en septembre (Lomme - 59);50.65246,2.97128
IFSI Santélys Formation - rentrée en septembre (Loos - 59);50.6,3.03286
IFSI Croix Rouge Française Bethune - rentrée en septembre (62);50.5134,2.6488
IFSI Campus des Métiers de la Santé - Val de Lys Artois - rentrée en septembre (Saint-Venant - 62);50.6173,2.53819
IFSI CH de Brive - rentrée en septembre (Brive-la-Gaillarde - 19);45.16888,1.53372
IFSI J. LEPERCQ / CH ST JOSEPH ST LUC - rentrée en septembre (Lyon 7e  Arrondissement - 69);45.7469,4.83897
IFSI CH Le Vinatier  - rentrée en septembre (Bron - 69);45.7396,4.8934
IFSI CH de Carcassonne - rentrée en septembre (11);43.1874,2.34189
IFSI- Hospit. Privée - rentrée en septembre (Castelnau-le-Lez - 34);43.62384,3.91179
IFSI Briey - rentrée en septembre (Val de Briey - 54);49.2598,5.92815
