Id;Name;Latitude;Longitude;Country_ISO;Population
3836194;Santa Lucía;-31.53987;-68.49503;AR;43565
3836277;Santa Fe;-31.64881;-60.70868;AR;489505
3836564;San Salvador de Jujuy;-24.19457;-65.29712;AR;305891
3836620;San Ramón de la Nueva Orán;-23.13705;-64.32426;AR;74059
3836669;San Rafael;-34.61772;-68.33007;AR;109163
3836772;San Pedro de Jujuy;-24.23127;-64.86614;AR;58430
3836846;San Nicolás de los Arroyos;-33.33425;-60.2108;AR;127742
3836873;San Miguel de Tucumán;-26.82414;-65.2226;AR;781023
3836951;San Martín de los Andes;-40.15789;-71.35337;AR;23519
3836992;San Martín;-33.08103;-68.46814;AR;82549
3837056;San Luis;-33.29501;-66.33563;AR;183982
3837124;San Justo;-30.78913;-60.59189;AR;21809
3837213;San Juan;-31.5375;-68.53639;AR;447048
3837240;San José de Jáchal;-30.24057;-68.74693;AR;21018
3837441;San Jorge;-31.89618;-61.85984;AR;16873
3837675;San Francisco;-31.42797;-62.08266;AR;59062
3837702;San Fernando del Valle de Catamarca;-28.46957;-65.78524;AR;188812
3837980;San Antonio Oeste;-40.73193;-64.94769;AR;16966
3838233;Salta;-24.7859;-65.41166;AR;512686
3838506;Rufino;-34.26827;-62.71262;AR;18361
3838583;Rosario;-32.94682;-60.63932;AR;1173533
3838793;Río Tercero;-32.17301;-64.11405;AR;53389
3838797;Río Segundo;-31.6526;-63.9099;AR;18155
3838854;Río Grande;-53.78769;-67.70946;AR;52681
3838859;Río Gallegos;-51.62261;-69.21813;AR;85700
3838874;Río Cuarto;-33.13067;-64.34992;AR;153757
3838902;Río Ceballos;-31.16486;-64.32241;AR;16632
3839307;Rawson;-43.30016;-65.10228;AR;26335
3839479;Rafaela;-31.25033;-61.4867;AR;88713
3839490;Quitilipi;-26.86913;-60.21683;AR;32083
3839982;Punta Alta;-38.87588;-62.07359;AR;57209
3840092;Puerto Madryn;-42.7692;-65.03851;AR;64555
